Author,Title,Year,YoutubeId,Region
Chór Czejanda,"Na prawo most, na lewo most",1950,iov99B98bcI,PL
Marta Mirska,Pierwszy siwy włos,1950,0b7FzxuqYjA,PL
Andrzej Bogucki i Chór Czejanda,"Jak przygoda, to tylko w Warszawie",1950,S9K0xj9DFuc,PL
Maria Koterbska,Wrocławska piosenka,1950,wu20lRZct_c,PL
Andrzej Bogucki,Czerwony autobus,1951,nxwKRrUmQLo,PL
Jadwiga Prolińska i Chór Czejanda,Pójdę na Stare Miasto,1951,ZsWqzxNa4zM,PL
Chór Czejanda,Wesoły pociąg,1951,vEtWKu3-tf0,PL
Chór Czejanda,Trzej przyjaciele z boiska,1951,Ak1MYII-wOw,PL
Maria Koterbska,Bo mój chłopiec piłkę kopie,1952,pHDSkcGwazc,PL
Chór Cztery Asy,Budujemy nowy dom,1952,ECY636UKxS4,PL
Irena Małkiewicz,Gdy zaświecą latarenki,1952,Ot8DNr0Unec,PL
Mieczysław Fogg,Wisłą do Młocin,1952,4TUQ-iHAS30,PL
Adolf Dymsza,Warszawa da się lubić,1953,TO3UNGhggQ8,PL
Andrzej Bogucki i Chór Czejanda,Złoty piasek,1953,iktqDHT9r-g,PL
Andrzej Bogucki i Chór Czejanda,Piosenka warszawska,1953,0FCobjcT4Bk,PL
Maria Koterbska,Srebrna mucha i ja,1953,5HNUqUodDc8,PL
Zbigniew Kurtycz,Taki jestem zimny drań,1954,ciwENJu_11M,PL
Zbigniew Kurtycz,Cicha woda,1954,IwSwcSh1F2M,PL
Julian Sztatler,Wio koniku,1954,89nk4BKecg0,PL
Maria Koterbska,Serduszko puka w rytmie cha-cha,1954,maqdqO9G9Rk,PL
Natasza Zylska,Kasztany,1955,H0vHLdOmbok,PL
Natasza Zylska,Baja Bongo,1955,AuJhz8oYUus,PL
Cezary Fabiński,Pies Dingo,1955,x3UZJF9qFng,PL
Julian Sztatler,Pełną parą,1955,D2HJDfMj3gk,PL
Natasza Zylska,Mój mąż łowi ryby,1956,D6tfRkTH1PI,PL
Natasza Zylska,"Pik, pik, pik",1956,oDw64MM2MKs,PL
Mieczysław Fogg,Siwy włos,1956,B_5L1ZkaSjg,PL
Maria Koterbska,Augustowskie noce,1956,QTCBVwwVbqY,PL
Maria Koterbska,Parasolki,1957,yugEIsB2wV0,PL
Maria Koterbska,Brzydula i rudzielec,1957,mz9Ut_Cqiqo,PL
Maria Koterbska,"Do jutra, do zobaczenia",1957,EGv0f8j7lVs,PL
Hanna Rek,Jesteś cza-cza-czarująca,1957,aD4DdHwKKis,PL
Sława Przybylska,Już nigdy,1958,rDbS9ziRbMc,PL
Maria Koterbska,Karuzela,1958,lu5m_qW94ak,PL
Sława Przybylska,Pamiętasz była jesień,1958,A7VTiP5dl9o,PL
Sława Przybylska,Gorącą nocą,1958,1tLM8TNSucc,PL
Halina Kowalewska,Na katarynce,1959,FKj1R5QB2f4,PL
Ludmiła Jakubczak,Alabama,1959,-2bcHVffVyI,PL
Zbigniew Kurtycz,Traf,1959,_PwDpR1EFRM,PL
Zbigniew Rawicz,Walczyk Warszawy,1959,Ip8nSIFnsP4,PL
Ludmiła Jakubczak,Gdy mi Ciebie zabraknie,1960,d4dGw6Puvi4,PL
Hanna Rek,Romeo,1960,zubpmDMcaxI,PL
Wiesława Drojecka,Marjolane,1960,j9QKLhk0B0M,PL
Sława Przybylska,Miłość w Portofino,1961,4D9kTz1Myc0,PL
Irena Santor,Embarras,1961,mjKaF3ME3e4,PL
Karin Stanek,Malowana lala,1962,W7B6R6dahX4,PL
Czerwono-Czarni,Jedziemy autostopem,1962,GNtp-Q7scEc,PL
Katarzyna Sobczyk,O mnie się nie martw,1962,EpvDBgKWBmI,PL
Karin Stanek,Chłopiec z gitarą,1963,kOSwTn35F7U,PL
Helena Majdaniec,Rudy rydz,1963,th1Sgf_nkoY,PL
Czesław Niemen,Pod papugami,1963,ePwwMgrPMW8,PL
Bogdan Czyżewski,Zginęła mi dziewczyna,1963,hdB7IZffwvI,PL
Niebiesko-Czarni,Niedziela będzie dla nas,1964,Fxkhe8GqYkc,PL
Violetta Villas,"Do ciebie, mamo",1964,N68_SARhXEw,PL
Hanna Rek,Nie wolno mi,1964,WD3DkaKrpzo,PL
Natasza Zylska,Chana,1964,f7zMiq96jKw,PL
Piotr Szczepanik,Kochać,1965,mREy5gQhseE,PL
Piotr Szczepanik,Goniąc kormorany,1965,mDTCj3slFMM,PL
Jerzy Matuszkiewicz,Wojna domowa,1965,Vl7UOup8s9s,PL
Wojciech Młynarski,Jesteśmy,1965,RRfiddT5-aM,PL
Czerwone Gitary,Nie zadzieraj nosa,1966,7Shz3JUucaM,PL
Skaldowie,"Wszystko mi mówi, że mnie ktoś pokochał",1966,_21HqYAL_Ns,PL
Czesław Niemen,Sen o Warszawie,1966,ePNUSmH3dMI,PL
Czerwone Gitary,Powiedz stary gdzieś ty był,1966,OAU6_Bv9RCY,PL
Czesław Niemen,Dziwny jest ten świat,1967,wTjLZwpmufw,PL
Czerwone Gitary,Kwiaty we włosach,1967,e0Flwrc7oAQ,PL
Edmund Fetting,Ballada o pancernych,1967,y6foA9AO60Y,PL
Breakout,Gdybyś kochał hej,1967,mv41zHIQIVM,PL
Czerwone Gitary,Anna Maria,1968,Ynj0n8WpZ7Q,PL
Skaldowie,Medytacje wiejskiego listonosza,1968,Qy8MylHlD08,PL
Irena Jarocka,Motylem jestem,1968,NTGfIEuy_ys,PL
Czerwone Gitary,Takie ładne oczy,1968,whei_Xu-Q8w,PL
Alibabki,Kwiat jednej nocy,1969,8oFSN9RSjmg,PL
Maryla Rodowicz,Mówiły mu,1969,uDO5lSE8BJk,PL
Skaldowie,Cała jesteś w skowronkach,1969,vpD9JtVGUHY,PL
Edmund Fetting,Nim wstanie dzień,1969,p266UtzxCpo,PL
Trubadurzy,Znamy się tylko z widzenia,1970,DG_wdNY7IIA,PL
Maryla Rodowicz,Jadą wozy kolorowe,1970,GdVh6x_cXXU,PL
Tadeusz Nalepa,Kiedy byłem małym chłopcem,1970,lWXSUuosxtk,PL
Maryla Rodowicz,To było w maju,1970,JFk6PPdLaYg,PL
Marek Grechuta,"Dni, których nie znamy",1971,kOzQ7yR7w74,PL
Krzysztof Klenczon,10 w skali Beauforta,1971,4RTjMMUcuzk,PL
Andrzej Dąbrowski,Zielono mi,1971,A3Erhhwt9kg,PL
Anna German,Kupiłabym ci me kochanie,1971,Ve7h1W2fbHM,PL
Tadeusz Woźniak,Zegarmistrz światła,1972,n7BkXebANI0,PL
2 plus 1,"Chodź, pomaluj mój świat",1972,3hYjSsmmzJs,PL
Irena Jarocka,Odpływają kawiarenki,1972,XHHDGqh-dLI,PL
Bogusław Mec,Jej portret,1972,8sI4m8t7YmA,PL
Maryla Rodowicz,Małgośka,1973,26MdTMNpsFM,PL
Stan Borys,Jaskółka uwięziona,1973,y4i4_e7T7Ig,PL
