pozycja,artysta,utwór,rok_wydania,youtube_search,youtube_link,youtubeId
2,Lao Che,Wojenka,2019,https://www.youtube.com/results?search_query=Lao%20Che%20Wojenka,https://www.youtube.com/watch?v=o2JUFe9sND4,o2JUFe9sND4
3,Maanam,KRAKOWSKI SPLEEN,1983,https://www.youtube.com/results?search_query=Maanam%20KRAKOWSKI%20SPLEEN,https://www.youtube.com/watch?v=BqUpUtaS9VY,BqUpUtaS9VY
4,Kult,ARAHJA,2010,https://www.youtube.com/results?search_query=Kult%20ARAHJA,https://www.youtube.com/watch?v=_vw2K0AgFF0,_vw2K0AgFF0
5,1,Obywatel G.C.,,https://www.youtube.com/results?search_query=1%20Obywatel%20G.C.,https://www.youtube.com/watch?v=cSjk6phf3iY,cSjk6phf3iY
6,Czesław Niemen,DZIWNY JEST TEN ŚWIAT,,https://www.youtube.com/results?search_query=Czes%C5%82aw%20Niemen%20DZIWNY%20JEST%20TEN%20%C5%9AWIAT,https://www.youtube.com/watch?v=wTjLZwpmufw,wTjLZwpmufw
7,Perfect,AUTOBIOGRAFIA,2005,https://www.youtube.com/results?search_query=Perfect%20AUTOBIOGRAFIA,https://www.youtube.com/watch?v=1n0MupX-7AM,1n0MupX-7AM
8,Zbigniew Wodecki,LUBIĘ WRACAĆ TAM GDZIE BYŁEM,1999,https://www.youtube.com/results?search_query=Zbigniew%20Wodecki%20LUBI%C4%98%20WRACA%C4%86%20TAM%20GDZIE%20BY%C5%81EM,https://www.youtube.com/watch?v=6LyC_6n0ZHg,6LyC_6n0ZHg
9,Kult,POLSKA,2001,https://www.youtube.com/results?search_query=Kult%20POLSKA,https://www.youtube.com/watch?v=x3kicEsx7g0,x3kicEsx7g0
10,W górę,178,,https://www.youtube.com/results?search_query=W%20g%C3%B3r%C4%99%20178,https://www.youtube.com/watch?v=-bz0uqr23U0,-bz0uqr23U0
11,Sztywny Pal Azji,"WIEŻA RADOŚCI, WIEŻA SAMOTNOŚCI",1999,https://www.youtube.com/results?search_query=Sztywny%20Pal%20Azji%20WIE%C5%BBA%20RADO%C5%9ACI%2C%20WIE%C5%BBA%20SAMOTNO%C5%9ACI,https://www.youtube.com/watch?v=8igBzhNflNg,8igBzhNflNg
12,Kazik,12 GROSZY,1997,https://www.youtube.com/results?search_query=Kazik%2012%20GROSZY,https://www.youtube.com/watch?v=UAaW1BUSPP8,UAaW1BUSPP8
13,Dżem,LIST DO M.,1991,https://www.youtube.com/results?search_query=D%C5%BCem%20LIST%20DO%20M.,https://www.youtube.com/watch?v=K1vi90JYhnE,K1vi90JYhnE
14,Marek Grechuta & Anawa,"DNI, KTÓRYCH NIE ZNAMY",1974,https://www.youtube.com/results?search_query=Marek%20Grechuta%20%26%20Anawa%20DNI%2C%20KT%C3%93RYCH%20NIE%20ZNAMY,https://www.youtube.com/watch?v=tNnzUZSDNf0,tNnzUZSDNf0
15,Republika,BIAŁA FLAGA,1993,https://www.youtube.com/results?search_query=Republika%20BIA%C5%81A%20FLAGA,https://www.youtube.com/watch?v=IyBnzCJJx_g,IyBnzCJJx_g
16,Martyna Jakubowicz,W DOMACH Z BETONU NIE MA WOLNEJ MIŁOŚCI,1984,https://www.youtube.com/results?search_query=Martyna%20Jakubowicz%20W%20DOMACH%20Z%20BETONU%20NIE%20MA%20WOLNEJ%20MI%C5%81O%C5%9ACI,https://www.youtube.com/watch?v=a8_mZadP0G8,a8_mZadP0G8
17,Fisz Emade Tworzywo,"OK, BOOMER!",2021,https://www.youtube.com/results?search_query=Fisz%20Emade%20Tworzywo%20OK%2C%20BOOMER%21,https://www.youtube.com/watch?v=znDuxOGE08Q,znDuxOGE08Q
18,Męskie Granie Orkiestra 2021,"I CIEBIE TEŻ, BARDZO",,https://www.youtube.com/results?search_query=M%C4%99skie%20Granie%20Orkiestra%202021%20I%20CIEBIE%20TE%C5%BB%2C%20BARDZO,https://www.youtube.com/watch?v=czkYm-XJRks,czkYm-XJRks
19,Chłopcy z Placu Broni,KOCHAM WOLNOŚĆ,1990,https://www.youtube.com/results?search_query=Ch%C5%82opcy%20z%20Placu%20Broni%20KOCHAM%20WOLNO%C5%9A%C4%86,https://www.youtube.com/watch?v=nYMiNuJJyYM,nYMiNuJJyYM
20,Aya RL,SKÓRA,,https://www.youtube.com/results?search_query=Aya%20RL%20SK%C3%93RA,https://www.youtube.com/watch?v=1cFzJUX99Ck,1cFzJUX99Ck
21,Kaśka Sochacka,Niebo było różowe,2021,https://www.youtube.com/results?search_query=Ka%C5%9Bka%20Sochacka%20Niebo%20by%C5%82o%20r%C3%B3%C5%BCowe,https://www.youtube.com/watch?v=iHDJ_xfW26Y,iHDJ_xfW26Y
22,Daab,W MOIM OGRODZIE,2007,https://www.youtube.com/results?search_query=Daab%20W%20MOIM%20OGRODZIE,https://www.youtube.com/watch?v=qKAz9zlk6Xw,qKAz9zlk6Xw
23,Edmund Fetting,NIM WSTANIE DZIEŃ (Z FILMU PRAWO I PIĘŚĆ),,https://www.youtube.com/results?search_query=Edmund%20Fetting%20NIM%20WSTANIE%20DZIE%C5%83%20%28Z%20FILMU%20%22PRAWO%20I%20PI%C4%98%C5%9A%C4%86%22%29,https://www.youtube.com/watch?v=vHeR90RRYyI,vHeR90RRYyI
24,Kobranocka,KOCHAM CIĘ JAK IRLANDIĘ,1999,https://www.youtube.com/results?search_query=Kobranocka%20KOCHAM%20CI%C4%98%20JAK%20IRLANDI%C4%98,https://www.youtube.com/watch?v=eWDgwFCvoPE,eWDgwFCvoPE
25,Czesław Niemen,SEN O WARSZAWIE,1979,https://www.youtube.com/results?search_query=Czes%C5%82aw%20Niemen%20SEN%20O%20WARSZAWIE,https://www.youtube.com/watch?v=ePNUSmH3dMI,ePNUSmH3dMI
26,Rezerwat,ZAOPIEKUJ SIĘ MNĄ,1991,https://www.youtube.com/results?search_query=Rezerwat%20ZAOPIEKUJ%20SI%C4%98%20MN%C4%84,https://www.youtube.com/watch?v=WD7dDfZD1_8,WD7dDfZD1_8
27,Budka Suflera,"JOLKA, JOLKA, PAMIĘTASZ",,https://www.youtube.com/results?search_query=Budka%20Suflera%20JOLKA%2C%20JOLKA%2C%20PAMI%C4%98TASZ,https://www.youtube.com/watch?v=CzXeUWTKiBw,CzXeUWTKiBw
28,Grażyna Łobaszewska,CZAS NAS UCZY POGODY,2000,https://www.youtube.com/results?search_query=Gra%C5%BCyna%20%C5%81obaszewska%20CZAS%20NAS%20UCZY%20POGODY,https://www.youtube.com/watch?v=JL78y0-_ieg,JL78y0-_ieg
29,Hey & Edyta Bartosiewicz,MOJA I TWOJA NADZIEJA,,https://www.youtube.com/results?search_query=Hey%20%26%20Edyta%20Bartosiewicz%20MOJA%20I%20TWOJA%20NADZIEJA,https://www.youtube.com/watch?v=f5hooj3qKM4,f5hooj3qKM4
30,Tadeusz Woźniak,ZEGARMISTRZ ŚWIATŁA,1972,https://www.youtube.com/results?search_query=Tadeusz%20Wo%C5%BAniak%20ZEGARMISTRZ%20%C5%9AWIAT%C5%81A,https://www.youtube.com/watch?v=J8SSEJGr264,J8SSEJGr264
31,Paktofonika,JESTEM BOGIEM,2000,https://www.youtube.com/results?search_query=Paktofonika%20JESTEM%20BOGIEM,https://www.youtube.com/watch?v=u3HeJFr01T0,u3HeJFr01T0
32,Krystyna Prońko,JESTEŚ LEKIEM NA CAŁE ZŁO,1983,https://www.youtube.com/results?search_query=Krystyna%20Pro%C5%84ko%20JESTE%C5%9A%20LEKIEM%20NA%20CA%C5%81E%20Z%C5%81O,https://www.youtube.com/watch?v=HeyX1H3HTVQ,HeyX1H3HTVQ
33,"Raz, Dwa, Trzy",TRUDNO NIE WIERZYĆ W NIC,2003,https://www.youtube.com/results?search_query=Raz%2C%20Dwa%2C%20Trzy%20TRUDNO%20NIE%20WIERZY%C4%86%20W%20NIC,https://www.youtube.com/watch?v=htUpWFD_dVs,htUpWFD_dVs
